 153: 14.419433, 51.049389 avg loss, 0.000001 rate, 1.696512 seconds, 4896 images, 5.196389 hours left
91738, 47.283623 avg loss, 0.000001 rate, 1.602469 seconds, 4928 images, 5.193068 hours left
 155: 12.510875, 43.806347 avg loss, 0.000001 rate, 1.561470 seconds, 4960 images, 5.184430 hours left
 156: 12.527201, 40.678432 avg loss, 0.000001 rate, 1.582729 seconds, 4992 images, 5.175145 hours left
 157: 12.126234, 37.823212 avg loss, 0.000001 rate, 1.514726 seconds, 5024 images, 5.170825 hours left
 158: 11.733479, 35.214237 avg loss, 0.000001 rate, 1.638933 seconds, 5056 images, 5.150375 hours left
 159: 11.649491, 32.857761 avg loss, 0.000001 rate, 1.631269 seconds, 5088 images, 5.151042 hours left
 160: 10.606127, 30.632599 avg loss, 0.000001 rate, 1.542880 seconds, 5120 images, 5.149978 hours left
 161: 11.986398, 28.767979 avg loss, 0.000001 rate, 1.669080 seconds, 5152 images, 5.146710 hours left
 162: 11.601159, 27.051296 avg loss, 0.000001 rate, 1.748091 seconds, 5184 images, 5.123946 hours left
 163: 10.993238, 25.445490 avg loss, 0.000001 rate, 1.738260 seconds, 5216 images, 5.128624 hours left
 164: 10.107956, 23.911736 avg loss, 0.000001 rate, 1.730875 seconds, 5248 images, 5.118258 hours left
 165: 10.148704, 22.535433 avg loss, 0.000001 rate, 1.741838 seconds, 5280 images, 5.111730 hours left
 166: 10.235211, 21.305410 avg loss, 0.000001 rate, 1.785224 seconds, 5312 images, 5.105082 hours left
 167: 9.054478, 20.080317 avg loss, 0.000001 rate, 1.630524 seconds, 5344 images, 5.106172 hours left
 168: 9.027582, 18.975042 avg loss, 0.000001 rate, 1.703360 seconds, 5376 images, 5.093527 hours left
 169: 9.429792, 18.020517 avg loss, 0.000001 rate, 1.683437 seconds, 5408 images, 5.082956 hours left
 170: 8.884188, 17.106884 avg loss, 0.000001 rate, 1.886036 seconds, 5440 images, 5.082887 hours left
 171: 13.059814, 16.702177 avg loss, 0.000001 rate, 2.416761 seconds, 5472 images, 5.079773 hours left
 172: 12.774767, 16.309437 avg loss, 0.000001 rate, 2.421974 seconds, 5504 images, 5.069324 hours left
 173: 12.149413, 15.893435 avg loss, 0.000001 rate, 2.413750 seconds, 5536 images, 5.073569 hours left
 174: 12.643785, 15.568470 avg loss, 0.000001 rate, 2.591850 seconds, 5568 images, 5.068860 hours left
 175: 11.660175, 15.177641 avg loss, 0.000001 rate, 2.623433 seconds, 5600 images, 5.076646 hours left
 176: 10.921988, 14.752075 avg loss, 0.000001 rate, 2.403405 seconds, 5632 images, 5.083568 hours left
 177: 9.905247, 14.267392 avg loss, 0.000001 rate, 2.536542 seconds, 5664 images, 5.087554 hours left
 178: 10.054186, 13.846071 avg loss, 0.000001 rate, 2.426362 seconds, 5696 images, 5.082117 hours left
 179: 9.489295, 13.410394 avg loss, 0.000001 rate, 2.503889 seconds, 5728 images, 5.089900 hours left
 180: 9.502401, 13.019594 avg loss, 0.000001 rate, 2.565719 seconds, 5760 images, 5.083195 hours left
 181: 7.239618, 12.441597 avg loss, 0.000001 rate, 2.247164 seconds, 5792 images, 5.085743 hours left
 182: 7.773259, 11.974763 avg loss, 0.000001 rate, 2.147281 seconds, 5824 images, 5.101518 hours left
 183: 6.811406, 11.458427 avg loss, 0.000001 rate, 2.210864 seconds, 5856 images, 5.094131 hours left
 184: 7.109925, 11.023577 avg loss, 0.000001 rate, 2.335320 seconds, 5888 images, 5.083163 hours left
 185: 6.719261, 10.593145 avg loss, 0.000001 rate, 2.169001 seconds, 5920 images, 5.080670 hours left
 186: 6.833639, 10.217195 avg loss, 0.000001 rate, 2.265152 seconds, 5952 images, 5.083078 hours left
 187: 5.966402, 9.792115 avg loss, 0.000001 rate, 2.314185 seconds, 5984 images, 5.079734 hours left
 188: 5.700476, 9.382952 avg loss, 0.000001 rate, 2.124775 seconds, 6016 images, 5.079081 hours left
 189: 5.626228, 9.007279 avg loss, 0.000001 rate, 2.315671 seconds, 6048 images, 5.089414 hours left
 190: 5.245860, 8.631138 avg loss, 0.000001 rate, 2.315421 seconds, 6080 images, 5.079050 hours left
 191: 3.627867, 8.130811 avg loss, 0.000001 rate, 1.590654 seconds, 6112 images, 5.082970 hours left
 192: 3.751531, 7.692883 avg loss, 0.000001 rate, 1.455791 seconds, 6144 images, 5.070896 hours left
 193: 2.686213, 7.192215 avg loss, 0.000001 rate, 1.542852 seconds, 6176 images, 5.077655 hours left
 194: 3.040339, 6.777028 avg loss, 0.000001 rate, 1.616519 seconds, 6208 images, 5.058363 hours left
 195: 3.904701, 6.489795 avg loss, 0.000001 rate, 1.567275 seconds, 6240 images, 5.042919 hours left
 196: 3.187262, 6.159542 avg loss, 0.000001 rate, 1.642224 seconds, 6272 images, 5.035699 hours left
 197: 3.265159, 5.870104 avg loss, 0.000002 rate, 1.542353 seconds, 6304 images, 5.023403 hours left
 198: 3.183246, 5.601418 avg loss, 0.000002 rate, 1.548497 seconds, 6336 images, 5.017773 hours left
 199: 3.089031, 5.350179 avg loss, 0.000002 rate, 1.533141 seconds, 6368 images, 5.010456 hours left
 200: 3.559486, 5.171110 avg loss, 0.000002 rate, 1.723131 seconds, 6400 images, 4.997876 hours left
 201: 3.926497, 5.046649 avg loss, 0.000002 rate, 2.457799 seconds, 6432 images, 4.997676 hours left
 202: 4.746370, 5.016621 avg loss, 0.000002 rate, 2.457121 seconds, 6464 images, 4.989473 hours left
 203: 4.148663, 4.929825 avg loss, 0.000002 rate, 2.374238 seconds, 6496 images, 4.993033 hours left
 204: 4.276418, 4.864485 avg loss, 0.000002 rate, 2.463980 seconds, 6528 images, 4.985888 hours left
 205: 4.386506, 4.816687 avg loss, 0.000002 rate, 2.546104 seconds, 6560 images, 4.983242 hours left
 206: 3.731451, 4.708163 avg loss, 0.000002 rate, 2.524688 seconds, 6592 images, 4.984384 hours left
 207: 3.701711, 4.607518 avg loss, 0.000002 rate, 2.463086 seconds, 6624 images, 4.979294 hours left
 208: 3.556066, 4.502373 avg loss, 0.000002 rate, 2.481514 seconds, 6656 images, 4.979753 hours left
 209: 3.548105, 4.406946 avg loss, 0.000002 rate, 2.393004 seconds, 6688 images, 4.975858 hours left
 210: 3.660910, 4.332343 avg loss, 0.000002 rate, 2.506735 seconds, 6720 images, 4.976439 hours left
 211: 2.712042, 4.170312 avg loss, 0.000002 rate, 1.605480 seconds, 6752 images, 4.970766 hours left
 212: 3.379851, 4.091266 avg loss, 0.000002 rate, 1.612647 seconds, 6784 images, 4.963570 hours left
 213: 2.736860, 3.955826 avg loss, 0.000002 rate, 1.530111 seconds, 6816 images, 4.954418 hours left
 214: 2.164886, 3.776732 avg loss, 0.000002 rate, 1.578323 seconds, 6848 images, 4.946496 hours left
 215: 2.515465, 3.650605 avg loss, 0.000002 rate, 1.651268 seconds, 6880 images, 4.950795 hours left
 216: 2.424738, 3.528018 avg loss, 0.000002 rate, 1.676852 seconds, 6912 images, 4.947989 hours left
 217: 2.355673, 3.410784 avg loss, 0.000002 rate, 1.642403 seconds, 6944 images, 4.948002 hours left
 218: 2.283523, 3.298058 avg loss, 0.000002 rate, 1.626500 seconds, 6976 images, 4.936331 hours left
 219: 2.129908, 3.181243 avg loss, 0.000002 rate, 1.564971 seconds, 7008 images, 4.926822 hours left
 220: 2.840133, 3.147132 avg loss, 0.000002 rate, 1.580575 seconds, 7040 images, 4.911199 hours left
 221: 1.792209, 3.011640 avg loss, 0.000002 rate, 1.935840 seconds, 7072 images, 4.901963 hours left
 222: 2.497139, 2.960190 avg loss, 0.000002 rate, 1.929241 seconds, 7104 images, 4.887457 hours left
 223: 2.694823, 2.933653 avg loss, 0.000002 rate, 1.947591 seconds, 7136 images, 4.879807 hours left
